,test1,test2,test3,test4,test5
1999,10741,10095,9821,9505,9951
2000,10748,10103,9825,9508,9952
2001,10755,10104,9828,9513,9959
2002,10759,10105,9830,9522,9960
2003,10767,10106,9837,9523,9962
2004,10770,10115,9840,9530,9967
2005,10786,10116,9841,9542,9970
2006,10787,10125,9844,9543,9971
2007,10797,10130,9849,9548,9983
2008,10811,10132,9852,9555,9986
2009,10815,10136,9854,9558,9990
2010,10816,10139,9866,9563,9992
2011,10817,10140,9871,9566,9995
2012,10840,10154,9876,9571,10000
2013,10843,10170,9878,9573,10004
2014,10849,10175,9879,9577,10006
2015,10856,10176,9880,9578,10017
2016,10867,10177,9881,9580,10026
2017,10883,10178,9884,9587,10032
2018,10887,10183,9886,9592,10038
2019,10889,10184,9888,9598,10039
2020,10905,10187,9891,9599,10047
2021,10918,10192,9896,9604,10050
2022,10925,10196,9898,9606,10054
2023,10929,10201,9899,9608,10062
2024,10936,10204,9907,9630,10067
2025,10943,10209,9912,9631,10068
2026,10945,10210,9914,9632,10069
2027,10952,10216,9915,9638,10070
2028,10953,10223,9918,9644,10084
2029,10961,10225,9921,9645,10086
2030,10975,10227,9933,9648,10088
2031,10979,10230,9944,9651,10098
2032,10985,10245,9950,9653,10099
2033,10989,10247,9976,9655,10100
2034,10990,10254,9977,9656,10102
2035,10999,10255,9982,9660,10110
2036,11000,10281,9984,9662,10111
2037,11003,10282,9987,9664,10113
2038,11006,10284,9988,9667,10119
2039,11011,10287,9996,9671,10121
2040,11016,10295,10001,9674,10126
2041,11019,10301,10003,9680,10128
2042,11029,10304,10005,9681,10129
2043,11037,10305,10007,9691,10133
2044,11043,10308,10008,9702,10144
2045,11047,10311,10009,9723,10148
2046,11050,10318,10010,9737,10149
2047,11052,10324,10018,9741,10150
2048,11063,10333,10029,9744,10153
2049,11064,10336,10030,9750,10157
2050,11069,10339,10033,9751,10161
2051,11079,10343,10036,9754,10167
2052,11086,10346,10044,9756,10173
2053,11100,10351,10048,9763,10180
2054,11101,10354,10049,9770,10181
2055,11102,10358,10057,9771,10182
2056,11103,10359,10060,9772,10188
2057,11105,10360,10063,9775,10189
2058,11110,10362,10071,9779,10195
2059,11112,10364,10074,9782,10197
2060,11113,10365,10075,9793,10199
2061,11119,10366,10076,9794,10211
2062,11124,10375,10081,9805,10239
2063,11127,10381,10091,9807,10240
2064,11128,10387,10112,9813,10246
2065,11134,10389,10124,9818,10250
2066,11136,10393,10127,9822,10251
2067,11157,10395,10131,9824,10252
2068,11165,10413,10135,9829,10257
2069,11167,10424,10142,9833,10258
2070,11170,10425,10151,9838,10261
2071,11180,10431,10152,9843,10262
2072,11181,10436,10155,9846,10268
2073,11190,10444,10156,9847,10276
2074,11198,10445,10159,9853,10280
2075,11206,10446,10165,9861,10283
2076,11208,10447,10174,9872,10285
2077,11209,10451,10185,9875,10291
2078,11217,10458,10198,9885,10312
2079,11220,10459,10200,9897,10314
2080,11222,10484,10205,9902,10328
2081,11224,10487,10214,9906,10329
2082,11228,10488,10215,9911,10342
2083,11233,10490,10222,9917,10349
2084,11234,10492,10224,9925,10353
2085,11237,10499,10231,9927,10363
2086,11243,10504,10235,9929,10369
2087,11247,10514,10236,9934,10370
2088,11256,10521,10238,9935,10371
2089,11259,10525,10241,9938,10372
2090,11260,10528,10242,9948,10377
2091,11263,10531,10248,9954,10378
2092,11267,10549,10256,9958,10384
2093,11278,10557,10259,9963,10392
2094,11284,10569,10264,9964,10401
2095,11285,10571,10265,9969,10408
2096,11295,10575,10266,9978,10410
2097,11296,10588,10269,9980,10414
2098,11299,10590,10270,9989,10416
2099,11300,10593,10271,9993,10418
2100,11306,10601,10273,9997,10419
2101,11320,10605,10279,10002,10427
2102,11324,10606,10292,10011,10428
2103,11327,10613,10293,10015,10430
2104,11329,10620,10296,10019,10433
2105,11330,10626,10297,10021,10437
2106,11331,10630,10302,10027,10455
2107,11332,10641,10309,10028,10456
2108,11339,10649,10315,10031,10460
2109,11340,10651,10317,10035,10464
2110,11341,10654,10321,10037,10467
2111,11343,10659,10322,10040,10472
2112,11348,10661,10330,10055,10475
2113,11350,10662,10331,10058,10476
2114,11356,10665,10335,10059,10486
2115,11357,10666,10337,10073,10489
2116,11365,10670,10338,10077,10496
2117,11367,10673,10344,10078,10500
2118,11369,10678,10345,10080,10502
2119,11373,10680,10355,10082,10505
2120,11378,10685,10367,10083,10510
2121,11384,10687,10368,10089,10516
2122,11396,10689,10373,10094,10520
2123,11397,10694,10374,10096,10523
2124,11399,10698,10383,10101,10536
2125,11407,10701,10390,10107,10539
2126,11418,10704,10391,10109,10543
2127,11425,10709,10396,10114,10544
2128,11430,10710,10403,10118,10548
2129,11434,10716,10406,10120,10550
2130,11437,10717,10407,10138,10553
2131,11438,10723,10409,10141,10555
2132,11439,10740,10415,10143,10562
2133,11442,10742,10422,10146,10563
2134,11449,10750,10435,10160,10570
2135,11462,10754,10438,10162,10573
2136,11468,10758,10439,10164,10577
2137,11469,10760,10448,10166,10581
2138,11472,10769,10454,10168,10582
2139,11473,10771,10463,10169,10584
2140,11477,10775,10465,10172,10591
2141,11479,10776,10477,10186,10595
2142,11483,10777,10478,10190,10596
2143,11484,10779,10479,10191,10604
2144,11492,10780,10481,10193,10607
2145,11493,10781,10491,10203,10611
2146,11498,10782,10495,10207,10619
2147,11502,10793,10497,10208,10631
2148,11505,10798,10498,10213,10632
2149,11509,10801,10506,10217,10633
2150,11518,10803,10508,10219,10635
2151,11522,10813,10513,10220,10648
2152,11523,10820,10515,10221,10652
2153,11524,10821,10517,10226,10653
2154,11528,10824,10518,10228,10657
2155,11535,10825,10519,10229,10658
2156,11537,10853,10522,10232,10663
2157,11543,10857,10526,10233,10668
2158,11545,10858,10529,10253,10669
2159,11547,10868,10534,10260,10674
2160,11553,10872,10535,10267,10679
2161,11564,10877,10542,10272,10682
2162,11573,10878,10551,10274,10683
2163,11575,10879,10558,10275,10688
2164,11577,10882,10568,10278,10695
2165,11579,10886,10572,10286,10708
2166,11586,10892,10583,10290,10713
2167,11587,10893,10592,10298,10726
2168,11594,10900,10598,10313,10728
2169,11598,10903,10602,10325,10730
2170,11599,10908,10609,10327,10733
2171,11600,10915,10617,10332,10734
2172,11602,10926,10624,10334,10736
2173,11604,10930,10625,10341,10745
2174,11610,10940,10627,10347,10746
2175,11612,10946,10636,10348,10772
2176,11614,10947,10642,10350,10774
2177,11616,10949,10650,10361,10778
2178,11617,10955,10671,10379,10796
2179,11626,10959,10686,10380,10800
2180,11634,10964,10699,10394,10805
2181,11635,10967,10700,10397,10812
2182,11637,10976,10703,10399,10814
2183,11638,10982,10706,10402,10818
2184,11641,10984,10712,10405,10826
2185,11648,10987,10714,10421,10830
2186,11649,10993,10718,10423,10831
2187,11658,11008,10720,10432,10832
2188,11668,11015,10721,10434,10833
2189,11670,11020,10727,10440,10834
2190,11676,11021,10731,10442,10835
2191,11677,11022,10747,10449,10837
2192,11682,11030,10751,10450,10841
2193,11690,11033,10752,10457,10842
2194,11693,11036,10753,10482,10848
2195,11695,11041,10756,10485,10850
2196,11701,11048,10757,10494,10855
2197,11705,11057,10761,10503,10859
2198,11709,11061,10763,10524,10875
2199,11710,11062,10764,10527,10894
2200,11713,11075,10765,10533,10895
2201,11715,11076,10766,10538,10901
2202,11716,11081,10783,10540,10906
2203,11719,11088,10784,10541,10909
2204,11720,11096,10788,10545,10911
2205,11721,11097,10789,10547,10917
2206,11723,11104,10790,10552,10919
2207,11724,11106,10791,10559,10923
2208,11726,11109,10795,10564,10924
2209,11731,11133,10802,10565,10931
2210,11735,11139,10804,10567,10935
2211,11737,11140,10807,10576,10939
2212,11748,11144,10808,10585,10942
2213,11749,11145,10809,10587,10948
2214,11753,11155,10819,10589,10951
2215,11785,11163,10822,10594,10958
2216,11787,11164,10829,10612,10963
2217,11788,11166,10836,10614,10965
2218,11796,11183,10838,10618,10968
2219,11797,11184,10839,10621,10978
2220,11802,11194,10845,10622,10986
2221,11810,11196,10846,10634,10988
2222,11820,11202,10847,10638,10992
2223,11822,11204,10854,10639,10997
2224,11828,11207,10860,10640,11001
2225,11829,11210,10863,10643,11004
2226,11835,11211,10864,10656,11012
2227,11845,11218,10865,10660,11013
2228,11851,11227,10873,10672,11017
2229,11853,11231,10874,10675,11018
2230,11855,11244,10876,10676,11025
2231,11860,11253,10880,10677,11027
2232,11870,11261,10884,10684,11042
2233,11877,11270,10888,10690,11059
2234,11878,11272,10896,10691,11066
2235,11880,11274,10898,10692,11068
2236,11882,11281,10902,10693,11072
2237,11899,11282,10912,10696,11073
2238,11901,11286,10914,10705,11074
2239,11909,11287,10920,10715,11080
2240,11929,11290,10922,10719,11084
2241,11941,11292,10932,10722,11085
2242,11947,11301,10933,10724,11087
2243,11952,11302,10937,10729,11091
2244,11954,11304,10941,10735,11094
2245,11961,11307,10944,10743,11095
2246,11963,11309,10950,10744,11107
2247,11972,11310,10956,10749,11108
2248,11983,11311,10957,10762,11111
2249,11997,11322,10969,10768,11116
2250,12000,11336,10971,10773,11117
2251,12002,11344,10973,10785,11118
2252,12003,11354,10977,10792,11120
2253,12009,11355,10991,10794,11121
2254,12015,11358,10995,10799,11125
2255,12017,11360,10998,10806,11130
2256,12021,11364,11002,10810,11131
2257,12039,11372,11005,10823,11141
2258,12042,11375,11007,10827,11147
2259,12047,11377,11009,10828,11149
2260,12048,11382,11010,10844,11150
2261,12053,11383,11023,10851,11151
2262,12056,11389,11024,10852,11159
2263,12057,11390,11028,10861,11161
2264,12058,11392,11034,10862,11169
2265,12068,11393,11038,10866,11172
2266,12071,11394,11039,10869,11174
2267,12081,11411,11044,10870,11176
2268,12085,11412,11046,10871,11189
2269,12096,11413,11054,10881,11192
2270,12099,11417,11058,10885,11193
2271,12102,11419,11065,10890,11195
2272,12103,11427,11070,10891,11199
2273,12124,11429,11077,10897,11201
2274,12147,11443,11082,10899,11203
2275,12148,11444,11092,10904,11223
2276,12158,11453,11093,10907,11226
2277,12166,11457,11099,10910,11235
2278,12176,11463,11114,10913,11236
2279,12178,11464,11122,10916,11238
2280,12186,11471,11123,10921,11254
2281,12188,11478,11126,10927,11265
2282,12191,11485,11132,10928,11269
2283,12210,11486,11135,10934,11273
2284,12215,11488,11138,10938,11279
2285,12218,11490,11143,10954,11288
2286,12223,11491,11146,10960,11291
2287,12233,11499,11148,10962,11293
2288,12245,11501,11153,10966,11312
2289,12247,11507,11156,10970,11313
2290,12253,11508,11171,10972,11315
2291,12268,11512,11173,10974,11321
2292,12269,11525,11177,10980,11323
2293,12270,11527,11179,10981,11325
2294,12271,11532,11182,10983,11328
2295,12273,11534,11185,10994,11337
2296,12278,11540,11187,10996,11342
2297,12283,11551,11191,11014,11347
2298,12297,11556,11197,11026,11352
2299,12304,11557,11200,11031,11359
2300,12306,11569,11212,11032,11363
2301,12310,11578,11215,11035,11371
2302,12313,11580,11229,11040,11374
2303,12325,11589,11239,11045,11380
2304,12329,11591,11240,11049,11386
2305,12332,11592,11241,11051,11387
2306,12346,11596,11242,11053,11400
2307,12350,11603,11245,11055,11402
2308,12352,11613,11246,11056,11403
2309,12362,11620,11248,11060,11404
2310,12377,11621,11250,11067,11405
2311,12381,11624,11252,11071,11406
2312,12387,11625,11262,11078,11409
2313,12390,11632,11266,11083,11410
2314,12396,11639,11268,11089,11422
2315,12403,11643,11271,11090,11423
2316,12409,11651,11277,11098,11433
2317,12416,11656,11283,11115,11441
2318,12417,11661,11297,11129,11450
2319,12419,11665,11298,11137,11451
2320,12423,11667,11305,11142,11452
2321,12438,11671,11316,11152,11461
2322,12451,11678,11317,11154,11466
2323,12453,11681,11318,11158,11467
2324,12459,11687,11326,11160,11470
2325,12463,11691,11333,11162,11496
2326,12468,11706,11334,11168,11497
2327,12470,11711,11335,11175,11500
2328,12474,11736,11346,11178,11504
2329,12477,11740,11349,11186,11514
2330,12478,11742,11353,11188,11520
2331,12481,11743,11361,11205,11521
2332,12490,11745,11362,11213,11526
2333,12492,11746,11368,11214,11533
2334,12493,11747,11370,11216,11538
2335,12494,11754,11376,11219,11548
2336,12507,11755,11381,11221,11552
2337,12510,11757,11385,11225,11555
2338,12516,11762,11391,11230,11558
2339,12520,11764,11395,11232,11561
2340,12523,11766,11398,11249,11562
2341,12526,11775,11414,11251,11563
2342,12527,11781,11416,11255,11565
2343,12531,11782,11421,11257,11566
2344,12532,11783,11424,11258,11571
2345,12541,11790,11435,11264,11572
2346,12545,11794,11440,11275,11581
2347,12546,11799,11446,11276,11583
2348,12550,11801,11448,11280,11590
2349,12553,11812,11454,11289,11597
2350,12554,11819,11455,11294,11606
2351,12558,11831,11460,11303,11607
2352,12560,11832,11465,11308,11615
2353,12576,11834,11474,11314,11618
2354,12577,11844,11475,11319,11622
2355,12581,11852,11506,11338,11627
2356,12584,11858,11510,11345,11630
2357,12585,11862,11511,11351,11636
2358,12586,11866,11513,11366,11644
2359,12592,11871,11515,11379,11645
2360,12602,11874,11517,11388,11647
2361,12607,11883,11519,11401,11657
2362,12616,11887,11529,11408,11662
2363,12619,11888,11530,11415,11664
2364,12624,11891,11531,11420,11673
2365,12627,11893,11536,11426,11679
2366,12628,11911,11546,11428,11694
2367,12632,11916,11549,11431,11696
2368,12638,11921,11550,11432,11699
2369,12643,11926,11554,11436,11700
2370,12647,11927,11560,11445,11702
2371,12653,11937,11567,11447,11704
2372,12656,11940,11568,11456,11707
2373,12657,11944,11574,11458,11712
2374,12659,11948,11576,11459,11727
2375,12668,11959,11585,11476,11734
2376,12670,11966,11588,11480,11752
2377,12675,11968,11595,11481,11761
2378,12682,11970,11601,11482,11765
2379,12685,11971,11605,11487,11767
2380,12689,11973,11608,11489,11778
2381,12690,11974,11611,11494,11779
2382,12694,11976,11619,11495,11784
2383,12718,11982,11623,11503,11786
2384,12721,11984,11628,11516,11791
2385,12722,11986,11629,11539,11792
2386,12723,12001,11631,11541,11795
2387,12733,12011,11633,11542,11807
2388,12738,12016,11640,11544,11814
2389,12739,12022,11642,11559,11815
2390,12741,12029,11646,11570,11816
2391,12745,12051,11652,11582,11827
2392,12750,12063,11659,11584,11839
2393,12756,12070,11669,11593,11846
2394,12758,12073,11672,11609,11847
2395,12763,12083,11674,11650,11848
2396,12768,12084,11680,11653,11856
2397,12769,12086,11683,11654,11857
2398,12774,12087,11684,11655,11863
2399,12776,12097,11685,11660,11864
2400,12793,12098,11692,11663,11869
2401,12802,12105,11697,11666,11875
2402,12809,12108,11698,11675,11876
2403,12813,12113,11703,11686,11879
2404,12817,12116,11708,11688,11884
2405,12820,12119,11717,11689,11886
2406,12829,12122,11718,11714,11894
2407,12830,12135,11730,11722,11897
2408,12839,12136,11738,11725,11900
2409,12849,12139,11739,11728,11903
2410,12858,12142,11741,11729,11904
2411,12861,12144,11751,11732,11907
2412,12862,12145,11756,11733,11913
2413,12873,12150,11759,11744,11915
2414,12874,12152,11760,11750,11917
2415,12878,12160,11768,11758,11922
2416,12879,12167,11771,11763,11928
2417,12885,12170,11777,11769,11931
2418,12887,12179,11798,11770,11934
2419,12894,12198,11803,11772,11946
2420,12902,12199,11805,11773,11950
2421,12910,12201,11809,11774,11955
2422,12918,12219,11813,11776,11965
2423,12921,12227,11817,11780,11967
2424,12922,12229,11821,11789,11969
2425,12924,12231,11824,11793,11975
2426,12929,12243,11826,11800,11979
2427,12930,12252,11830,11804,11988
2428,12936,12255,11833,11806,11998
2429,12946,12257,11836,11808,11999
2430,12950,12259,11842,11811,12004
2431,12954,12265,11843,11818,12010
2432,12960,12267,11850,11823,12013
2433,12963,12276,11859,11825,12019
2434,12965,12277,11865,11837,12023
2435,12971,12280,11867,11838,12024
2436,12977,12294,11872,11840,12025
2437,12981,12301,11873,11841,12027
2438,12991,12309,11885,11849,12031
2439,13001,12314,11892,11854,12041
2440,13024,12316,11895,11861,12055
2441,13025,12321,11896,11868,12060
2442,13041,12343,11906,11881,12066
2443,13042,12351,11908,11889,12067
2444,13049,12353,11910,11890,12069
2445,13058,12356,11912,11898,12072
2446,13060,12373,11919,11902,12075
2447,13061,12375,11920,11905,12079
2448,13065,12378,11924,11914,12088
2449,13067,12379,11930,11918,12091
2450,13080,12386,11932,11923,12101
2451,13081,12388,11935,11925,12104
2452,13082,12391,11936,11933,12106
2453,13084,12406,11938,11939,12112
2454,13089,12408,11949,11942,12125
2455,13101,12413,11951,11943,12126
2456,13109,12420,11953,11945,12131
2457,13115,12428,11956,11958,12132
2458,13119,12432,11957,11977,12137
2459,13120,12433,11960,11978,12138
2460,13122,12441,11962,11987,12140
2461,13128,12442,11964,11989,12146
2462,13131,12448,11980,11990,12157
2463,13132,12464,11981,11993,12161
2464,13137,12465,11985,11995,12162
2465,13144,12476,11991,12008,12163
2466,13150,12487,11992,12018,12164
2467,13151,12488,11994,12020,12165
2468,13155,12491,11996,12026,12168
2469,13157,12495,12005,12028,12169
2470,13164,12496,12006,12030,12173
2471,13169,12500,12007,12043,12174
2472,13171,12506,12012,12044,12177
2473,13172,12508,12014,12045,12183
2474,13181,12521,12032,12046,12184
2475,13186,12524,12033,12049,12187
2476,13188,12548,12034,12065,12193
2477,13201,12551,12035,12074,12194
2478,13214,12552,12036,12076,12205
2479,13229,12555,12037,12077,12206
2480,13230,12563,12038,12080,12209
2481,13232,12564,12040,12089,12217
2482,13236,12574,12050,12090,12220
2483,13238,12579,12052,12092,12221
2484,13245,12580,12054,12093,12235
2485,13257,12583,12059,12095,12236
2486,13259,12596,12061,12110,12238
2487,13265,12597,12062,12111,12240
2488,13271,12601,12064,12114,12246
2489,13279,12611,12078,12115,12248
2490,13288,12620,12082,12117,12254
2491,13295,12622,12094,12118,12256
2492,13299,12634,12100,12120,12260
2493,13301,12635,12107,12121,12262
2494,13304,12636,12109,12127,12272
2495,13307,12644,12123,12128,12284
2496,13320,12645,12130,12129,12286
2497,13334,12648,12143,12133,12288
2498,13336,12651,12151,12134,12289
2499,13337,12654,12153,12141,12291
2500,13343,12662,12154,12149,12292
2501,13346,12664,12156,12155,12295
2502,13349,12665,12159,12175,12299
2503,13350,12666,12171,12182,12303
2504,13354,12667,12172,12189,12307
2505,13355,12669,12180,12190,12319
2506,13374,12671,12181,12192,12330
2507,13383,12672,12185,12196,12331
2508,13389,12678,12195,12197,12338
2509,13393,12680,12200,12202,12348
2510,13394,12683,12203,12211,12358
2511,13400,12700,12204,12212,12361
2512,13403,12701,12207,12213,12363
2513,13409,12703,12208,12216,12366
2514,13420,12704,12214,12222,12372
2515,13425,12713,12224,12225,12374
2516,13438,12717,12232,12226,12376
2517,13443,12720,12234,12228,12380
2518,13452,12725,12237,12230,12382
2519,13461,12728,12242,12239,12385
2520,13462,12748,12244,12241,12389
2521,13467,12752,12250,12249,12392
2522,13479,12761,12251,12258,12397
2523,13480,12764,12261,12263,12400
2524,13485,12765,12264,12266,12401
2525,13498,12766,12275,12274,12404
2526,13504,12772,12279,12287,12414
2527,13515,12779,12281,12290,12425
2528,13521,12780,12282,12293,12427
2529,13532,12785,12285,12296,12430
2530,13533,12788,12298,12300,12435
2531,13534,12799,12302,12305,12443
2532,13543,12811,12311,12308,12446
2533,13544,12815,12315,12312,12450
2534,13549,12819,12320,12317,12454
2535,13556,12821,12326,12318,12456
2536,13558,12822,12328,12322,12457
2537,13559,12823,12333,12323,12461
2538,13565,12824,12334,12324,12467
2539,13582,12832,12336,12327,12471
2540,13586,12833,12339,12335,12482
2541,13587,12834,12342,12337,12483
2542,13588,12842,12344,12340,12489
2543,13589,12855,12345,12341,12497
2544,13603,12859,12347,12349,12498
2545,13612,12860,12355,12354,12499
2546,13617,12863,12357,12364,12504
2547,13619,12865,12359,12365,12509
2548,13621,12871,12360,12368,12514
2549,13623,12880,12367,12369,12517
2550,13626,12888,12370,12383,12522
2551,13627,12889,12371,12394,12530
2552,13632,12891,12384,12402,12533
2553,13633,12893,12393,12405,12535
2554,13638,12898,12395,12410,12544
2555,13639,12906,12398,12411,12549
2556,13642,12909,12399,12412,12565
2557,13647,12911,12407,12415,12569
2558,13669,12926,12421,12418,12590
2559,13676,12931,12429,12422,12594
2560,13680,12939,12436,12424,12605
2561,13691,12940,12437,12426,12608
2562,13696,12944,12440,12431,12610
2563,13701,12947,12449,12434,12612
2564,13703,12958,12452,12439,12614
2565,13706,12962,12458,12444,12625
2566,13708,12972,12460,12445,12629
2567,13710,12973,12466,12447,12652
2568,13714,12974,12469,12455,12655
2569,13716,12976,12472,12462,12658
2570,13719,12980,12473,12475,12660
2571,13722,12988,12479,12480,12677
2572,13724,12992,12486,12484,12681
2573,13736,12993,12501,12485,12684
2574,13748,12994,12503,12502,12686
2575,13750,12997,12505,12512,12691
2576,13751,12999,12511,12519,12693
2577,13757,13000,12513,12529,12697
2578,13760,13008,12515,12534,12698
2579,13784,13015,12518,12537,12706
2580,13786,13016,12525,12540,12707
2581,13787,13021,12528,12547,12708
2582,13788,13023,12536,12557,12710
2583,13790,13027,12538,12561,12711
2584,13791,13045,12539,12562,12715
2585,13796,13046,12542,12568,12719
2586,13812,13047,12543,12570,12724
2587,13815,13048,12556,12573,12730
2588,13817,13050,12559,12575,12735
2589,13818,13055,12566,12582,12736
2590,13823,13056,12567,12588,12737
2591,13825,13062,12571,12589,12742
2592,13834,13063,12572,12595,12746
2593,13839,13064,12578,12606,12751
2594,13841,13068,12587,12609,12757
2595,13849,13073,12591,12617,12777
2596,13851,13077,12593,12621,12789
2597,13853,13078,12598,12623,12798
2598,13858,13083,12599,12626,12800
2599,13859,13086,12600,12630,12803
2600,13861,13088,12603,12631,12808
2601,13863,13097,12604,12633,12825
2602,13876,13099,12613,12637,12827
2603,13880,13103,12615,12646,12828
2604,13886,13104,12618,12649,12836
2605,13887,13107,12639,12650,12837
2606,13892,13110,12640,12663,12838
2607,13899,13118,12641,12679,12840
2608,13900,13123,12642,12687,12843
2609,13904,13125,12661,12688,12844
2610,13908,13127,12673,12695,12845
2611,13912,13133,12674,12696,12846
2612,13913,13138,12676,12699,12848
2613,13921,13141,12692,12709,12850
2614,13942,13152,12702,12716,12852
2615,13944,13159,12705,12726,12857
2616,13948,13176,12712,12727,12870
2617,13952,13178,12714,12731,12876
2618,13953,13179,12729,12732,12882
2619,13956,13180,12740,12734,12886
2620,13959,13182,12743,12749,12895
2621,13964,13198,12744,12755,12900
2622,13966,13200,12747,12759,12901
2623,13969,13202,12753,12767,12904
2624,13972,13206,12754,12770,12907
2625,13974,13209,12760,12773,12908
2626,13978,13210,12762,12783,12913
2627,13981,13216,12771,12787,12917
2628,13986,13218,12775,12790,12928
2629,13998,13219,12778,12791,12932
2630,14010,13223,12781,12792,12935
2631,14011,13224,12782,12794,12941
2632,14015,13226,12784,12797,12952
2633,14029,13227,12786,12804,12957
2634,14034,13233,12795,12807,12959
2635,14035,13241,12796,12814,12961
2636,14037,13243,12801,12816,12964
2637,14041,13248,12805,12826,12967
2638,14061,13250,12806,12831,12978
2639,14062,13253,12810,12835,12983
2640,14064,13255,12812,12841,12985
2641,14067,13266,12818,12851,12989
2642,14068,13273,12847,12853,12990
2643,14076,13274,12854,12856,12995
2644,14081,13278,12864,12866,12998
2645,14090,13292,12867,12869,13006
2646,14096,13293,12868,12872,13009
2647,14104,13298,12875,12881,13011
2648,14108,13300,12877,12892,13012
2649,14109,13309,12883,12897,13017
2650,14116,13317,12884,12903,13026
2651,14117,13322,12890,12916,13030
2652,14119,13323,12896,12919,13031
2653,14125,13331,12899,12920,13044
2654,14129,13338,12905,12923,13051
2655,14132,13340,12912,12938,13057
2656,14138,13352,12914,12943,13069
2657,14146,13362,12915,12951,13070
2658,14147,13375,12925,12956,13090
2659,14159,13378,12927,12968,13091
2660,14165,13391,12933,12975,13092
2661,14171,13397,12934,12979,13096
2662,14173,13398,12937,12984,13102
2663,14174,13404,12942,12987,13105
2664,14175,13408,12945,12996,13111
2665,14178,13410,12948,13002,13117
2666,14183,13411,12949,13005,13130
2667,14185,13414,12953,13007,13134
2668,14186,13415,12955,13010,13136
2669,14188,13419,12966,13013,13145
2670,14189,13421,12969,13018,13148
2671,14196,13422,12970,13020,13149
2672,14198,13426,12982,13022,13153
2673,14203,13428,12986,13028,13162
2674,14210,13429,13003,13029,13167
2675,14212,13430,13004,13034,13183
2676,14217,13436,13014,13037,13185
2677,14223,13453,13019,13038,13190
2678,14227,13454,13032,13039,13193
2679,14242,13464,13033,13040,13197
2680,14243,13478,13035,13043,13205
2681,14244,13482,13036,13052,13207
2682,14247,13483,13053,13071,13211
2683,14258,13486,13054,13072,13212
2684,14263,13487,13059,13075,13242
2685,14272,13497,13066,13085,13246
2686,14276,13499,13074,13087,13249
2687,14285,13502,13076,13098,13251
2688,14286,13503,13079,13106,13261
2689,14298,13505,13093,13108,13262
2690,14299,13508,13094,13112,13263
2691,14304,13509,13095,13114,13264
2692,14307,13514,13100,13121,13269
2693,14315,13516,13113,13139,13272
2694,14316,13531,13116,13140,13276
2695,14321,13538,13124,13146,13277
2696,14328,13541,13126,13154,13280
2697,14332,13547,13129,13160,13287
2698,14335,13554,13135,13163,13308
2699,14351,13561,13142,13166,13312
2700,14354,13562,13143,13173,13313
2701,14362,13567,13147,13174,13315
2702,14370,13571,13156,13175,13316
2703,14372,13573,13158,13177,13321
2704,14377,13576,13161,13184,13330
2705,14389,13581,13165,13187,13339
2706,14390,13584,13168,13189,13344
2707,14391,13593,13170,13196,13347
2708,14392,13594,13191,13204,13351
2709,14404,13597,13192,13213,13356
2710,14405,13599,13194,13215,13364
2711,14406,13601,13195,13217,13365
2712,14407,13607,13199,13220,13366
2713,14408,13611,13203,13221,13368
2714,14428,13614,13208,13225,13372
2715,14436,13616,13222,13231,13373
2716,14445,13625,13228,13240,13376
2717,14450,13631,13234,13244,13377
2718,14454,13634,13235,13247,13381
2719,14456,13640,13237,13252,13384
2720,14458,13645,13239,13254,13390
2721,14461,13652,13258,13256,13396
2722,14462,13653,13267,13260,13402
2723,14464,13655,13281,13268,13407
2724,14465,13656,13282,13270,13417
2725,14473,13657,13283,13275,13423
2726,14481,13661,13284,13289,13427
2727,14488,13663,13285,13296,13431
2728,14500,13666,13286,13303,13433
2729,14505,13667,13290,13306,13434
2730,14507,13670,13291,13311,13439
2731,14508,13671,13294,13318,13444
2732,14527,13683,13297,13325,13448
2733,14529,13699,13302,13326,13458
2734,14532,13702,13305,13327,13460
2735,14535,13704,13310,13329,13471
2736,14548,13707,13314,13335,13474
2737,14550,13713,13319,13342,13477
2738,14551,13729,13324,13345,13481
2739,14554,13732,13328,13348,13488
2740,14557,13734,13332,13360,13489
2741,14572,13739,13333,13363,13506
2742,14587,13744,13341,13369,13511
2743,14592,13756,13353,13370,13513
2744,14602,13759,13357,13379,13522
2745,14603,13762,13358,13382,13551
2746,14606,13767,13359,13388,13553
2747,14614,13768,13361,13392,13557
2748,14616,13774,13367,13395,13566
2749,14620,13776,13371,13401,13568
2750,14623,13785,13380,13405,13574
2751,14632,13789,13385,13424,13579
2752,14637,13798,13386,13435,13583
2753,14638,13805,13387,13442,13595
2754,14639,13814,13399,13445,13596
2755,14640,13816,13406,13446,13600
2756,14646,13820,13412,13451,13604
2757,14662,13828,13413,13459,13606
2758,14676,13833,13416,13466,13608
2759,14692,13843,13418,13470,13620
2760,14699,13844,13432,13472,13622
2761,14702,13862,13437,13473,13629
2762,14705,13867,13440,13476,13630
2763,14706,13872,13441,13494,13637
2764,14711,13873,13447,13495,13641
2765,14719,13877,13449,13501,13643
2766,14727,13882,13450,13507,13644
2767,14729,13889,13455,13510,13665
2768,14730,13903,13456,13512,13675
2769,14735,13906,13457,13518,13682
2770,14737,13915,13463,13520,13688
2771,14738,13927,13465,13523,13692
2772,14742,13939,13468,13524,13697
2773,14745,13941,13469,13526,13698
2774,14752,13945,13475,13527,13705
